  -85.07800      -19.42500     32012
  -90.00000      -55.00000     34002
  -72.52200       34.50200     41001
  -74.93000       31.89200     41002
  -79.09900       32.50100     41004
  -80.86800       31.40000     41008
  -80.18500       28.50800     41009
  -78.48500       28.87800     41010
  -77.74300       33.43600     41013
  -78.47700       33.83700     41024
  -75.36300       35.02500     41025
  -79.62400       32.80300     41029
  -80.40600       32.27900     41033
  -77.36200       33.98800     41037
  -77.71500       34.14100     41038
  -53.04500       14.55400     41040
  -46.09300       14.31100     41041
  -64.83000       21.12400     41043
  -58.63000       21.58200     41044
  -68.38400       23.82200     41046
  -71.49400       27.51400     41047
  -69.58500       31.83800     41048
  -62.93800       27.49000     41049
  -65.00400       18.25700     41051
  -64.76300       18.24900     41052
  -65.46400       18.26100     41056
  -65.15700       18.47600     41058
  -51.01700       14.82400     41060
  -75.09500       35.77800     41062
  -75.94100       34.78200     41063
  -76.94900       34.20700     41064
  -78.01500       33.72100     41108
  -77.71700       34.14100     41110
  -81.29200       30.70900     41112
  -80.53400       28.40000     41113
  -80.18800       28.52300     41116
  -81.08000       30.00000     41117
  -80.59000       28.60900     41118
  -78.48300       33.84200     41119
  -76.94600       34.21300     41159
  -89.65000       25.96100     42001
  -93.75800       26.09100     42002
  -85.61500       25.92500     42003
  -87.55100       30.06400     42012
  -95.35000       27.90600     42019
  -96.69300       26.96800     42020
  -83.74100       27.50500     42022
  -83.08600       26.01000     42023
  -83.47500       25.17100     42026
  -94.41300       29.23200     42035
  -84.51600       28.50100     42036
  -86.00800       28.78800     42039
  -88.22600       29.20800     42040
  -94.89900       28.98200     42043
  -96.50000       26.21700     42045
  -94.03700       27.89000     42046
  -93.59700       27.89700     42047
  -93.94100       22.12400     42055
  -84.94600       19.81200     42056
  -81.42200       16.90800     42057
  -74.56000       14.77500     42058
  -67.48300       15.25200     42059
  -63.35400       16.41300     42060
  -81.25100       24.50000     42078
  -81.24200       24.53500     42079
  -66.53200       17.86900     42085
  -60.84800       11.18500     42087
  -60.52100       11.30100     42088
  -80.06100       19.69900     42089
  -69.58000       18.43200     42090
  -81.96700       24.40700     42095
  -83.65000       25.70000     42097
  -84.27500       27.34500     42099
